总排放量,用电量(MWh),用烟煤量（吨）,用柴油量（吨）
3.160745250000000000e+06,2.880623125000000000e+05,4.856103750000000000e+05,8.514291381835937500e+01
1.031632750000000000e+06,1.006585937500000000e+05,1.651799375000000000e+05,8.193462371826171875e+01
7.310379375000000000e+05,9.278401562500000000e+04,1.218146875000000000e+05,2.904578552246093750e+02
1.983888000000000000e+06,1.934536406250000000e+05,3.253308125000000000e+05,6.925156250000000000e+02
1.884568625000000000e+06,1.516522343750000000e+05,3.148958125000000000e+05,1.208052215576171875e+02
3.998844062500000000e+05,5.706538281250000000e+04,3.935036718750000000e+04,5.873699951171875000e+01
2.136145250000000000e+06,2.099576562500000000e+05,3.705974375000000000e+05,3.301234436035156250e+01
1.684032375000000000e+06,7.261893750000000000e+04,2.566183437500000000e+05,2.094465942382812500e+02
1.842714000000000000e+06,1.788652187500000000e+05,3.013133437500000000e+05,9.685164642333984375e+01
1.515615625000000000e+06,1.475765156250000000e+05,2.236594843750000000e+05,7.961725616455078125e+01
4.107889062500000000e+05,6.108080078125000000e+04,4.823728515625000000e+04,1.916615753173828125e+02
5.725963125000000000e+05,3.481628906250000000e+04,1.094311875000000000e+05,4.732160568237304688e+01
9.380835625000000000e+05,1.174784843750000000e+05,1.443950156250000000e+05,6.506777954101562500e+02
1.319682000000000000e+06,4.467383203125000000e+04,1.966551875000000000e+05,3.154777526855468750e+02
1.294199000000000000e+06,1.012169296875000000e+05,1.999518281250000000e+05,2.517535400390625000e+02
4.618062500000000000e+03,3.631695312500000000e+04,9.913365936279296875e+01,1.909952239990234375e+02
8.489370000000000000e+05,7.351047656250000000e+04,1.420829062500000000e+05,1.389181823730468750e+02
5.936928125000000000e+05,8.020051562500000000e+04,1.024887734375000000e+05,2.635198974609375000e+02
1.966625250000000000e+06,1.785341250000000000e+05,3.400767812500000000e+05,9.928062438964843750e+01
4.558079687500000000e+04,4.177982910156250000e+03,1.851741406250000000e+05,3.355968627929687500e+02
1.848888500000000000e+06,1.965517343750000000e+05,3.272040937500000000e+05,3.883554077148437500e+01
1.868215875000000000e+06,1.222138906250000000e+05,3.437160625000000000e+05,8.614620208740234375e+01
8.056426250000000000e+05,2.268648242187500000e+04,1.349607968750000000e+05,6.510010528564453125e+01
1.695940125000000000e+06,5.924113671875000000e+04,2.497810937500000000e+05,1.098617324829101562e+02
1.402927625000000000e+06,1.275815156250000000e+05,2.167142187500000000e+05,3.765834045410156250e+02
1.688339625000000000e+06,1.529242968750000000e+05,2.758696875000000000e+05,3.291864929199218750e+02
7.866770507812500000e+03,3.316869531250000000e+04,3.430090332031250000e+01,6.404351711273193359e+00
1.615066125000000000e+06,1.007778125000000000e+05,2.469994218750000000e+05,9.034837341308593750e+01
1.628672875000000000e+06,1.513600937500000000e+05,2.594233125000000000e+05,8.565753173828125000e+01
1.568082750000000000e+06,9.029013281250000000e+04,2.320612812500000000e+05,2.220595397949218750e+02
1.508413000000000000e+06,1.533913437500000000e+05,2.448587656250000000e+05,5.263669586181640625e+01
1.976105500000000000e+06,6.597559375000000000e+04,3.161019687500000000e+05,2.515523071289062500e+02
1.459864750000000000e+06,1.512721875000000000e+05,2.387928906250000000e+05,5.192401123046875000e+02
6.206162500000000000e+05,2.726139453125000000e+04,1.285240937500000000e+05,2.075532836914062500e+02
3.056644750000000000e+06,2.793920312500000000e+05,4.796908750000000000e+05,3.041513442993164062e+01
6.106207500000000000e+05,4.967432812500000000e+04,1.107773515625000000e+05,5.153659820556640625e+01
5.370465000000000000e+05,7.589223437500000000e+04,7.912776562500000000e+04,2.537956542968750000e+02
4.583041250000000000e+05,1.049796484375000000e+04,1.561302187500000000e+05,8.420735168457031250e+01
1.518836375000000000e+06,1.072408437500000000e+05,2.324366093750000000e+05,4.420448303222656250e+02
1.281672625000000000e+06,1.298912187500000000e+05,2.010140312500000000e+05,5.373553466796875000e+02
1.141645500000000000e+06,1.358355312500000000e+05,1.716302656250000000e+05,3.367468566894531250e+02
9.803435625000000000e+05,1.122621718750000000e+05,1.556606562500000000e+05,2.744421997070312500e+02
1.017782812500000000e+06,1.151149218750000000e+05,1.558167187500000000e+05,6.301625366210937500e+02
1.675721000000000000e+06,3.406915625000000000e+04,2.414170625000000000e+05,1.132874221801757812e+02
9.722413125000000000e+05,1.067544296875000000e+05,1.503151718750000000e+05,3.790932083129882812e+01
1.780593750000000000e+06,1.356208906250000000e+05,2.858374687500000000e+05,1.285450897216796875e+02
3.852691796875000000e+04,4.443400390625000000e+04,1.723156860351562500e+03,4.811557769775390625e+01
8.925285937500000000e+04,5.447502343750000000e+04,3.684950195312500000e+03,3.554800033569335938e+01
1.892104625000000000e+06,1.823668906250000000e+05,2.912101562500000000e+05,7.420949707031250000e+02
7.893918125000000000e+05,5.363850781250000000e+04,1.342005468750000000e+05,1.218650512695312500e+02
5.688821250000000000e+05,5.178776953125000000e+04,8.881459375000000000e+04,5.702073287963867188e+01
7.759545625000000000e+05,9.148729687500000000e+04,1.310529765625000000e+05,2.796907653808593750e+02
4.264827500000000000e+05,1.037504589843750000e+04,1.403433281250000000e+05,1.631418151855468750e+02
3.494436250000000000e+05,2.690743164062500000e+03,1.616047968750000000e+05,1.809934425354003906e+01
3.753820312500000000e+05,6.558044531250000000e+04,5.307715625000000000e+04,2.714811401367187500e+02
1.831599375000000000e+06,1.786492812500000000e+05,3.055952187500000000e+05,5.486706542968750000e+02
7.038752500000000000e+05,7.781295312500000000e+04,1.231021484375000000e+05,7.972100830078125000e+01
1.037900750000000000e+06,1.352683437500000000e+05,1.588754843750000000e+05,5.065810852050781250e+02
6.907566250000000000e+05,6.477419921875000000e+04,1.204348906250000000e+05,8.851091766357421875e+01
1.695696250000000000e+06,1.206418046875000000e+05,2.656253437500000000e+05,1.464594879150390625e+02
