总排放量,用电量(MWh),用烟煤量（吨）,用柴油量（吨）
7.672959200000000000e+07,1.778074240000000000e+08,1.354805312500000000e+05,1.872508087158203125e+02
7.649471200000000000e+07,1.813201120000000000e+08,1.405046093750000000e+05,1.966061706542968750e+02
7.459340800000000000e+07,1.721114560000000000e+08,1.464011093750000000e+05,2.610857238769531250e+02
7.634106400000000000e+07,1.752097600000000000e+08,1.382850312500000000e+05,1.986009216308593750e+02
7.711588000000000000e+07,1.719449760000000000e+08,1.338737968750000000e+05,1.814821014404296875e+02
7.689027200000000000e+07,1.686857120000000000e+08,1.338413906250000000e+05,1.873636474609375000e+02
7.720242400000000000e+07,1.741810560000000000e+08,1.301175000000000000e+05,1.745776214599609375e+02
7.710223200000000000e+07,1.664117760000000000e+08,1.339946718750000000e+05,1.774134216308593750e+02
7.662970400000000000e+07,1.705586720000000000e+08,1.377015468750000000e+05,1.977086639404296875e+02
7.567757600000000000e+07,1.760326240000000000e+08,1.421640468750000000e+05,2.320807342529296875e+02
7.639516000000000000e+07,1.727903520000000000e+08,1.368100625000000000e+05,2.077119750976562500e+02
7.594185600000000000e+07,1.756827680000000000e+08,1.435020781250000000e+05,2.244859161376953125e+02
7.575264000000000000e+07,1.743088480000000000e+08,1.448983750000000000e+05,2.318458404541015625e+02
7.687316000000000000e+07,1.743616000000000000e+08,1.365837031250000000e+05,1.914266204833984375e+02
7.599056000000000000e+07,1.788632640000000000e+08,1.388707968750000000e+05,2.135385437011718750e+02
7.649332800000000000e+07,1.705288000000000000e+08,1.322528750000000000e+05,2.005278778076171875e+02
7.659864000000000000e+07,1.686973280000000000e+08,1.376575937500000000e+05,2.047185821533203125e+02
7.576953600000000000e+07,1.762091840000000000e+08,1.420161875000000000e+05,2.320075378417968750e+02
7.561828800000000000e+07,1.764210880000000000e+08,1.456804218750000000e+05,2.376452331542968750e+02
7.775012800000000000e+07,1.702961440000000000e+08,1.266876406250000000e+05,1.465272369384765625e+02
7.540635200000000000e+07,1.635400640000000000e+08,1.436577343750000000e+05,2.432483978271484375e+02
7.696062400000000000e+07,1.663076800000000000e+08,1.328742343750000000e+05,1.831898803710937500e+02
7.682292000000000000e+07,1.714319840000000000e+08,1.372278437500000000e+05,1.890886535644531250e+02
7.552756000000000000e+07,1.851065600000000000e+08,1.467813593750000000e+05,2.368624420166015625e+02
7.536934400000000000e+07,1.707798880000000000e+08,1.452164375000000000e+05,2.428751831054687500e+02
7.548263200000000000e+07,1.737423040000000000e+08,1.410727187500000000e+05,2.392706146240234375e+02
7.626620000000000000e+07,1.657144640000000000e+08,1.385423750000000000e+05,2.147783508300781250e+02
7.655904800000000000e+07,1.674058080000000000e+08,1.391566875000000000e+05,1.991494445800781250e+02
7.505238400000000000e+07,1.708963200000000000e+08,1.470673750000000000e+05,2.519159393310546875e+02
7.749672800000000000e+07,1.689730560000000000e+08,1.312820625000000000e+05,1.608067779541015625e+02
7.634356000000000000e+07,1.737770400000000000e+08,1.336820937500000000e+05,2.081268920898437500e+02
7.510751200000000000e+07,1.682746560000000000e+08,1.449654375000000000e+05,2.493730163574218750e+02
7.616503200000000000e+07,1.696137120000000000e+08,1.395988906250000000e+05,2.153258972167968750e+02
7.660855200000000000e+07,1.691710880000000000e+08,1.435200937500000000e+05,2.018697357177734375e+02
7.564436800000000000e+07,1.637470560000000000e+08,1.496659218750000000e+05,2.405271148681640625e+02
7.652395200000000000e+07,1.719658720000000000e+08,1.388962031250000000e+05,2.054077301025390625e+02
7.545479200000000000e+07,1.694640960000000000e+08,1.457325468750000000e+05,2.433366546630859375e+02
7.733097600000000000e+07,1.737005440000000000e+08,1.323283750000000000e+05,1.718088989257812500e+02
7.659998400000000000e+07,1.706790560000000000e+08,1.355465781250000000e+05,1.947734375000000000e+02
7.546138400000000000e+07,1.794894720000000000e+08,1.407506562500000000e+05,2.334333801269531250e+02
7.644058400000000000e+07,1.754444800000000000e+08,1.354741093750000000e+05,2.010879211425781250e+02
7.580787200000000000e+07,1.726642240000000000e+08,1.402330625000000000e+05,2.259336700439453125e+02
7.698693600000000000e+07,1.730006560000000000e+08,1.315568593750000000e+05,1.793804016113281250e+02
7.540405600000000000e+07,1.747885920000000000e+08,1.452023750000000000e+05,2.452210998535156250e+02
7.641984800000000000e+07,1.647114080000000000e+08,1.373399843750000000e+05,2.091312408447265625e+02
7.597470400000000000e+07,1.715619680000000000e+08,1.414633437500000000e+05,2.265592346191406250e+02
7.561597600000000000e+07,1.790805920000000000e+08,1.513972500000000000e+05,2.393001098632812500e+02
7.571244800000000000e+07,1.692810880000000000e+08,1.403185781250000000e+05,2.297429046630859375e+02
7.707511200000000000e+07,1.811290880000000000e+08,1.365101718750000000e+05,1.805525360107421875e+02
7.747076800000000000e+07,1.618273120000000000e+08,1.380992656250000000e+05,1.682855834960937500e+02
7.591466400000000000e+07,1.745288160000000000e+08,1.390372812500000000e+05,2.241502685546875000e+02
7.622484800000000000e+07,1.738717440000000000e+08,1.422315781250000000e+05,2.182142181396484375e+02
7.614731200000000000e+07,1.642923840000000000e+08,1.437490625000000000e+05,2.250724487304687500e+02
7.659485600000000000e+07,1.704877280000000000e+08,1.403263750000000000e+05,2.025328826904296875e+02
7.611176800000000000e+07,1.651244320000000000e+08,1.405264531250000000e+05,2.179745178222656250e+02
7.611052800000000000e+07,1.711169600000000000e+08,1.399803750000000000e+05,2.162433624267578125e+02
7.587881600000000000e+07,1.668713920000000000e+08,1.372627031250000000e+05,2.213072967529296875e+02
7.677968800000000000e+07,1.758630400000000000e+08,1.420006406250000000e+05,1.948534393310546875e+02
7.489419200000000000e+07,1.692092320000000000e+08,1.475592812500000000e+05,2.569941406250000000e+02
7.626406400000000000e+07,1.781546560000000000e+08,1.347092968750000000e+05,2.060809326171875000e+02
7.549165600000000000e+07,1.787203360000000000e+08,1.426842031250000000e+05,2.380778503417968750e+02
7.583281600000000000e+07,1.570259200000000000e+08,1.442423750000000000e+05,2.359838562011718750e+02
7.762313600000000000e+07,1.659848800000000000e+08,1.310487968750000000e+05,1.529001159667968750e+02
7.601270400000000000e+07,1.746713280000000000e+08,1.403467968750000000e+05,2.143336334228515625e+02
7.653360800000000000e+07,1.748045440000000000e+08,1.415636250000000000e+05,2.076894836425781250e+02
7.611630400000000000e+07,1.711632160000000000e+08,1.445447343750000000e+05,2.215570373535156250e+02
7.636776000000000000e+07,1.655375840000000000e+08,1.364889218750000000e+05,2.092766876220703125e+02
7.638736000000000000e+07,1.639666080000000000e+08,1.371946562500000000e+05,2.136434631347656250e+02
7.645643200000000000e+07,1.678576480000000000e+08,1.378085468750000000e+05,2.006282501220703125e+02
7.605164000000000000e+07,1.766057120000000000e+08,1.384973437500000000e+05,2.121988220214843750e+02
7.603350400000000000e+07,1.763634400000000000e+08,1.368180312500000000e+05,2.145403137207031250e+02
7.631604800000000000e+07,1.716163040000000000e+08,1.404231562500000000e+05,2.097839508056640625e+02
7.517408000000000000e+07,1.727700480000000000e+08,1.460984687500000000e+05,2.433459777832031250e+02
7.642145600000000000e+07,1.698515200000000000e+08,1.448386562500000000e+05,2.133377685546875000e+02
7.554996000000000000e+07,1.690055040000000000e+08,1.445880156250000000e+05,2.361504669189453125e+02
7.668514400000000000e+07,1.786551840000000000e+08,1.334362500000000000e+05,1.942100830078125000e+02
7.731378400000000000e+07,1.696444320000000000e+08,1.292115781250000000e+05,1.697031555175781250e+02
7.660144000000000000e+07,1.727814240000000000e+08,1.348177343750000000e+05,1.978956451416015625e+02
7.539339200000000000e+07,1.717414080000000000e+08,1.417754687500000000e+05,2.400441589355468750e+02
7.653154400000000000e+07,1.660188000000000000e+08,1.315673437500000000e+05,1.994017181396484375e+02
7.523175200000000000e+07,1.633519200000000000e+08,1.459710000000000000e+05,2.500578155517578125e+02
7.666132000000000000e+07,1.756905280000000000e+08,1.335399375000000000e+05,1.957652130126953125e+02
7.617352000000000000e+07,1.607452000000000000e+08,1.382681093750000000e+05,2.235999755859375000e+02
7.586858400000000000e+07,1.716293120000000000e+08,1.440055937500000000e+05,2.312809295654296875e+02
7.640727200000000000e+07,1.832147360000000000e+08,1.348544531250000000e+05,2.029054107666015625e+02
7.452258400000000000e+07,1.728544800000000000e+08,1.469658593750000000e+05,2.687769470214843750e+02
7.624040000000000000e+07,1.749041280000000000e+08,1.411556093750000000e+05,2.139985504150390625e+02
7.633174400000000000e+07,1.675201280000000000e+08,1.367085156250000000e+05,2.029539947509765625e+02
7.621987200000000000e+07,1.691284000000000000e+08,1.361911562500000000e+05,2.066350555419921875e+02
