总排放量,用电量(MWh),用烟煤量（吨）,用柴油量（吨）
1.881330125000000000e+06,1.887206406250000000e+05,2.597868125000000000e+05,1.990008950233459473e+00
1.175466750000000000e+06,6.063114453125000000e+04,1.458248125000000000e+05,1.990000367164611816e+00
1.219326500000000000e+06,5.654381640625000000e+04,1.053438203125000000e+05,1.990000247955322266e+00
1.107634625000000000e+06,4.644564453125000000e+04,1.385953437500000000e+05,1.990000009536743164e+00
1.446179980468750000e+04,1.102065312500000000e+05,8.449392578125000000e+03,1.990000009536743164e+00
1.643023500000000000e+06,2.486667187500000000e+05,2.366941406250000000e+05,1.990000247955322266e+00
1.201104000000000000e+06,1.849153593750000000e+05,2.830178437500000000e+05,1.990000009536743164e+00
1.476131093750000000e+05,1.079211640625000000e+05,6.046981250000000000e+04,1.990000009536743164e+00
2.051818875000000000e+06,2.105451718750000000e+05,2.163960625000000000e+05,1.993318200111389160e+00
1.327294250000000000e+06,1.278289140625000000e+05,1.687127197265625000e+03,1.990000009536743164e+00
1.957651750000000000e+06,1.284703671875000000e+05,6.385002343750000000e+04,1.990034103393554688e+00
1.580531125000000000e+06,1.879255000000000000e+05,2.871128125000000000e+05,1.990000009536743164e+00
4.596953613281250000e+03,3.771628515625000000e+04,4.106810782104730606e-03,1.990000009536743164e+00
1.316407000000000000e+06,6.758186718750000000e+04,1.666085312500000000e+05,1.990000963211059570e+00
1.247841500000000000e+06,1.586530312500000000e+05,2.965538750000000000e+05,1.990000009536743164e+00
3.896969482421875000e+03,2.864674023437500000e+04,2.963304985314607620e-03,1.990000009536743164e+00
1.320057875000000000e+06,7.355750781250000000e+04,2.132769218750000000e+05,1.990000367164611816e+00
1.361969375000000000e+06,1.755064531250000000e+05,2.955438750000000000e+05,1.990000009536743164e+00
1.474678125000000000e+06,2.020820625000000000e+05,2.760477812500000000e+05,1.990000009536743164e+00
2.049460625000000000e+06,2.310713281250000000e+05,2.115221875000000000e+05,1.990385890007019043e+00
9.418508750000000000e+05,3.729974218750000000e+04,9.667993750000000000e+04,1.990000009536743164e+00
5.423467500000000000e+05,9.764735156250000000e+04,1.563764062500000000e+05,1.990000009536743164e+00
1.350292000000000000e+06,7.322103125000000000e+04,1.927261718750000000e+05,1.990000963211059570e+00
1.902292625000000000e+06,2.109007812500000000e+05,2.510162812500000000e+05,2.026666879653930664e+00
2.081829875000000000e+06,2.466863125000000000e+05,2.574082656250000000e+05,1.990052819252014160e+00
1.795792375000000000e+06,9.380991406250000000e+04,1.487921562500000000e+05,1.990003228187561035e+00
2.721345458984375000e+03,1.103842343750000000e+05,4.915784072875976562e+01,1.990000009536743164e+00
1.248175875000000000e+06,5.544103515625000000e+04,1.338066250000000000e+05,1.990000605583190918e+00
1.036187265625000000e+05,1.215171250000000000e+05,4.833532031250000000e+04,1.990000009536743164e+00
2.685166992187500000e+03,4.414608203125000000e+04,2.230826467275619507e-01,1.990000009536743164e+00
3.123087500000000000e+05,1.048030234375000000e+05,1.101186171875000000e+05,1.990000009536743164e+00
1.301821875000000000e+06,1.388490000000000000e+05,2.896672187500000000e+05,1.990000009536743164e+00
2.024495750000000000e+06,1.544005468750000000e+05,2.141780000000000000e+05,2.031190872192382812e+00
1.055778500000000000e+06,4.227732031250000000e+04,1.222220781250000000e+05,1.990000009536743164e+00
1.536800250000000000e+06,1.811652812500000000e+05,2.931180312500000000e+05,1.990000009536743164e+00
1.145152421875000000e+05,1.028640546875000000e+05,5.010860937500000000e+04,1.990000009536743164e+00
1.197180500000000000e+06,4.531563671875000000e+04,1.538412500000000000e+05,1.990000009536743164e+00
1.250407500000000000e+06,7.225758593750000000e+04,2.159120468750000000e+05,1.990000247955322266e+00
1.180255000000000000e+06,1.467954687500000000e+05,1.826572631835937500e+03,1.990000009536743164e+00
1.353266250000000000e+06,7.114995312500000000e+04,2.262212343750000000e+05,1.990000367164611816e+00
1.819072625000000000e+06,2.054456406250000000e+05,2.538860468750000000e+05,2.104491233825683594e+00
1.955901875000000000e+06,2.174815625000000000e+05,2.611899843750000000e+05,2.039989709854125977e+00
2.070570875000000000e+06,2.190128437500000000e+05,2.389781250000000000e+05,1.996087431907653809e+00
1.815030750000000000e+06,1.966198906250000000e+05,2.655360937500000000e+05,2.359004974365234375e+00
1.291396000000000000e+06,6.554965625000000000e+04,1.775670468750000000e+05,1.990000367164611816e+00
1.656816250000000000e+06,2.005364218750000000e+05,2.444593437500000000e+05,1.990000009536743164e+00
1.395186375000000000e+06,1.265769609375000000e+05,2.688971562500000000e+05,1.990000009536743164e+00
1.324860125000000000e+06,7.760892187500000000e+04,1.915920468750000000e+05,1.990000844001770020e+00
1.451402625000000000e+06,6.561017968750000000e+04,2.537423593750000000e+05,1.990000009536743164e+00
1.438170625000000000e+06,5.697233593750000000e+04,2.474634843750000000e+05,1.990000009536743164e+00
1.290756875000000000e+06,6.934593750000000000e+04,1.906100000000000000e+05,1.990000844001770020e+00
1.510336625000000000e+06,4.761821093750000000e+04,1.271663593750000000e+05,1.990000605583190918e+00
1.315174125000000000e+06,1.200102109375000000e+05,2.919961914062500000e+03,1.990000009536743164e+00
